ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
167,251,N,20000,57.07,25.1788798,121.4367281,住,3,350.4468196951113,2,"(294019.56729509385, 2785662.2287553097)",130.875,False,False,False,True,True,False,False,False
168,251,N,18000,43.2,25.1924116,121.44447890000001,住,11,416.6666666666666,2,"(294795.8630326786, 2787163.6578960293)",428.0,False,False,False,True,False,False,False,False
169,251,N,13500,13.79,25.165969399999998,121.45898159999999,套,13,978.97026831037,1,"(296267.489122594, 2784239.64622994)",0.0,False,True,False,False,True,True,True,False
170,251,N,15000,15.64,25.1504663,121.4595178,住,4,959.0792838874679,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,False,False,True,False,False,False,False
171,251,N,9500,11.05,25.171199899999998,121.4457487,套,3,859.7285067873303,3,"(294931.61650695995, 2784814.5315907956)",152.85987261146497,False,True,False,False,True,False,False,False
172,251,N,13000,24.05,25.1834007,121.42051299999999,住,5,540.5405405405405,2,"(292383.5996762744, 2786157.7908046944)",174.42857142857142,False,False,False,True,False,False,False,False
173,251,N,22000,51.03,25.186372,121.434547,住,1,431.1189496374681,2,"(293797.0445968726, 2786491.402971991)",0.0,False,False,False,True,False,False,False,False
174,251,N,25000,42.25,25.173449800000004,121.4483173,住,1,591.7159763313608,3,"(295189.7061888811, 2785064.6045061615)",149.6875,False,False,False,True,True,False,False,False
175,251,N,13000,35.32,25.1785525,121.4488013,住,20,368.06342015855034,2,"(295236.6098782441, 2785629.9758035336)",120.79611650485437,False,False,False,True,False,False,False,False
176,251,N,14000,22.26,25.1504663,121.4595178,住,2,628.9308176100627,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,False,False,True,False,False,False,False
177,244,N,38000,93.02,25.0727709,121.36532609999999,住,12,408.51429800043,1,"(286854.42657635023, 2773887.630594439)",345.375,False,False,False,True,False,False,False,False
178,251,N,21000,52.89,25.189294699999998,121.44701450000001,住,18,397.05048213272835,2,"(295052.55792923446, 2786819.2550567472)",75.0,False,False,False,True,False,False,False,False
180,251,N,18000,43.85,25.190319,121.4305111,住,8,410.49030786773085,1,"(293388.8719814534, 2786927.2920244336)",0.0,False,False,False,True,False,False,False,False
181,251,N,28000,30.54,25.1504663,121.4595178,套,4,916.8303863785198,3,"(296327.39633088163, 2782522.6069539236)",655.0,False,True,False,False,False,False,True,False
